child,parent,source
us-gaap:NetIncomeLossFromDiscontinuedOperationsAvailableToCommonShareholdersBasic,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossFromDiscontinuedOperationsAvailableToCommonShareholdersDiluted,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,us-gaap:NetIncomeLoss,auto
us-gaap:OperatingLeaseLiabilityNoncurrent,us-gaap:NoncurrentLiabilities,auto
us-gaap:OperatingLeaseRightOfUseAsset,us-gaap:NoncurrentAssets,auto
us-gaap:OperatingLeaseRightOfUseAssetAmortizationExpense,us-gaap:NoncurrentAssets,auto
us-gaap:PrepaidAdvertising,us-gaap:CurrentAssets,auto
us-gaap:PrepaidExpenseAndOtherAssetsCurrent,us-gaap:CurrentAssets,auto
us-gaap:PrepaidExpenseAndOtherAssetsNoncurrent,us-gaap:CurrentAssets,auto
us-gaap:PrepaidExpenseCurrent,us-gaap:CurrentAssets,auto
us-gaap:PrepaidExpenseCurrentAndNoncurrent,us-gaap:CurrentAssets,auto
us-gaap:PrepaidExpenseNoncurrent,us-gaap:CurrentAssets,auto
us-gaap:PrepaidExpenseOtherNoncurrent,us-gaap:CurrentAssets,auto
us-gaap:PrepaidPensionCosts,us-gaap:CurrentAssets,auto
us-gaap:PrepaidTaxes,us-gaap:CurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentAdditions,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentDisposals,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentFairValueDisclosure,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentGross,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentNet,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentOther,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentOtherAccumulatedDepreciation,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentOtherNet,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentTransfersAndChanges,us-gaap:NoncurrentAssets,auto
